                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                  1.206,                0.65793,                 1.1005,                 0.9815,                0.33811,                0.45082,                0.35516,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                    140,                 1.2118,                0.65735,                 1.1035,                0.96331,                0.34016,                0.45433,                0.35412,                    nan,                    nan,                    nan,               0.005413,               0.005413,               0.005413
                    141,                  1.215,                0.66933,                 1.0963,                0.97629,                0.33745,                0.45332,                0.35644,                    nan,                    nan,                    nan,                0.00538,                0.00538,                0.00538
                    142,                 1.2101,                0.65775,                 1.0944,                0.98209,                0.33705,                0.45497,                0.35846,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                    143,                 1.1989,                0.65378,                 1.0904,                0.98712,                0.33607,                0.45758,                0.36387,                    nan,                    nan,                    nan,               0.005314,               0.005314,               0.005314
                    144,                  1.174,                 0.6521,                 1.0884,                0.97198,                0.33914,                0.46144,                0.36525,                    nan,                    nan,                    nan,               0.005281,               0.005281,               0.005281
                    145,                 1.1915,                0.65984,                 1.0905,                0.98965,                0.33914,                0.46586,                0.37148,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                    146,                 1.1805,                 0.6509,                 1.0843,                0.99224,                0.33914,                0.46906,                0.37198,                    nan,                    nan,                    nan,               0.005215,               0.005215,               0.005215
                    147,                  1.205,                0.66348,                 1.0969,                0.98397,                0.34119,                0.46701,                0.37128,                    nan,                    nan,                    nan,               0.005182,               0.005182,               0.005182
                    148,                 1.2012,                0.65195,                 1.0974,                0.98432,                0.34119,                0.46125,                0.36753,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                    149,                 1.1962,                0.66103,                 1.0941,                0.98913,                0.34119,                 0.4568,                0.36214,                    nan,                    nan,                    nan,               0.005116,               0.005116,               0.005116
                    150,                 1.2071,                0.65513,                 1.0996,                 0.9909,                0.34119,                0.45381,                0.35903,                    nan,                    nan,                    nan,               0.005083,               0.005083,               0.005083
